date,name,value,icon
0146,"Bruno de Carvalho",1,https://upload.wikimedia.org/wikipedia/commons/4/49/Web_Summit_2017_-_SportsTrade_CG1_6831_%2838211885052%29_cropped.jpg
0147,"Músicas da Selecção",1,
0147,"Shawn Mendes",1,
0148,"Casamentos de Santo António",1,
0148,"Serenella Andrade",1,
0149,"Serenella Andrade",1,
0149,"Casais de Santo António",1,
0150,"O busto de Cristiano Ronaldo",1,"https://cdn-images.rtp.pt/icm/noticias/images/1b/1b9173a50649a20c17d16fdcc8f7bbb2?w=860&q=90&rect=0,28,800,439"
0150,"Emanuel Santos",1,
0150,"Cristiano Ronaldo",1,https://ichef.bbci.co.uk/ace/standard/2560/cpsprodpb/7bcb/live/0154c130-e3a7-11ef-8450-ff58a15d40df.jpg
0150,"Cristiano Ronaldo dos Santos",1,
0150,"Joana Vasconcelos",1,
0150,"Hugo Aveiro",1,
0150,"Kátia Aveiro",1,
0151,"Pessoas no Rock in Rio",1,
0151,"Ivete Sangalo",1,
0151,SirKazzio,1,
0151,"Marcelo Rebelo de Sousa",1,https://upload.wikimedia.org/wikipedia/commons/6/61/Marcelo_Rebelo_de_Sousa_em_2018.jpg
0151,"Joana Latino",1,
